Spp,name
411,Swallow-tailed Bee-eater
412,European Roller
413,Lilac-breasted Roller
414,Racket-tailed Roller
415,Purple Roller
416,Broad-billed Roller
418,African Hoopoe
419,Green Wood-hoopoe
420,Violet Wood-hoopoe
421,Common Scimitarbill
422,Trumpeter Hornbill
423,Silvery-cheeked Hornbill
424,African Grey Hornbill
426,Southern Yellow-billed Hornbill
427,Crowned Hornbill
428,Bradfield's Hornbill
429,Monteiro's Hornbill
430,Southern Ground-hornbill
431,Black-collared Barbet
432,Acacia Pied Barbet
433,White-eared Barbet
434,Whyte's Barbet
435,Green Barbet
436,Red-fronted Tinkerbird
437,Yellow-fronted Tinkerbird
438,Yellow-rumped Tinkerbird
439,Crested Barbet
440,Greater Honeyguide
441,Scaly-throated Honeyguide
442,Lesser Honeyguide
443,Brown-backed Honeybird
444,Green-backed Honeybird
445,Ground Woodpecker
446,Bennett's Woodpecker
447,Golden-tailed Woodpecker
448,Knysna Woodpecker
449,Green-backed Woodpecker
450,Cardinal Woodpecker
451,Bearded Woodpecker
452,Olive Woodpecker
453,Red-throated Wryneck
454,African Broadbill
455,African Pitta
456,Melodious Lark
457,Monotonous Lark
458,Rufous-naped Lark
459,Fawn-coloured Lark
460,Sabota Lark
461,Karoo Lark
463,Large-billed Lark
464,Dusky Lark
465,Short-clawed Lark
467,Abyssinian (African) Hill-babbler
468,Flappet Lark
471,Mountain Yellow (Flycatcher-) Warbler
472,Botha's Lark
473,Rudd's Lark
474,Spike-heeled Lark
476,Baglafecht Weaver
477,Oriole Finch
479,Red Lark
480,Dune Lark
483,Gray's Lark
484,Chestnut-backed Sparrowlark
485,Grey-backed Sparrowlark
486,Black-eared Sparrowlark
488,Red-capped Lark
490,Pink-billed Lark
491,Sclater's Lark
492,Stark's Lark
493,Barn Swallow
494,Angola Swallow
495,White-throated Swallow
496,Wire-tailed Swallow
497,Blue Swallow
498,Pearl-breasted Swallow
499,Grey-rumped Swallow
500,Mosque Swallow
501,Red-breasted Swallow
502,Greater Striped Swallow
503,Lesser Striped Swallow
504,South African Cliff-swallow
506,Rock Martin
507,Common House-martin
508,Sand Martin
509,Brown-throated Martin
510,Banded Martin
511,Black (Southern race) Saw-wing
512,Eastern Saw-wing
513,Black Cuckoo-shrike
514,Ashy Tit
515,White-breasted Cuckoo-shrike
516,Grey Cuckoo-shrike
